"3.20 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO A ÁREA ÚTIL DO ALOJAMENTO, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO, EXISTÊNCIA DE ENCARGOS POR COMPRA E RESPECTIVOS ESCALÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo a área útil do alojamento",,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalão de encargos,,Menos de 30m2,De 30 a menos de 40m2,De 40 a menos de 50 m2,De 50 a menos de 60 m2,De 60 a menos de 80 m2,De 80 a menos de 100 m2,De 100 a menos de 120 m2,De 120 a menos de 150 m2,De 150 a menos de 200 m2,200 m2 ou mais,,,
"            100 - 149,99 euros",1,0,0,0,0,0,0,0,0,0,1,1,2,
            150 - 199.99 euros,1,0,0,0,0,0,0,0,0,1,0,1,4,
"            200 - 249,99 euros",0,0,0,0,0,0,0,0,0,0,0,0,0,
"            250 - 299,99 euros",1,0,0,0,0,0,1,0,0,0,0,1,4,
"            300 - 349,99 euros",1,0,0,0,0,0,1,0,0,0,0,1,1,
"            350 - 399,99 euros",4,0,0,0,0,0,2,0,1,1,0,4,18,
"            400 - 499,99 euros",6,0,0,0,0,0,1,2,1,2,0,6,20,
"            500 - 649,99 euros",2,0,0,0,0,0,0,0,1,1,0,2,6,
"            650 - 799,99 euros",2,0,0,0,0,0,0,1,1,0,0,2,9,
            800 euros ou mais,1,0,0,0,0,0,0,0,0,1,0,1,5,
          Pequenos patrões com profissões intelectuais e científicas,851,2,4,8,8,56,121,139,172,136,205,857,2361,
            Sem encargos,302,2,4,3,2,23,39,39,63,51,76,306,782,
            Com encargos,549,0,0,5,6,33,82,100,109,85,129,551,1579,
            Menos de 75 euros,6,0,0,0,0,0,2,0,2,2,0,6,17,
"            75  - 99,99 euros",8,0,0,0,1,2,1,0,2,0,2,8,21,
"            100 - 149,99 euros",8,0,0,0,0,1,3,3,0,0,1,8,18,
            150 - 199.99 euros,12,0,0,1,0,1,4,0,4,2,0,12,29,
"            200 - 249,99 euros",23,0,0,1,1,1,4,9,3,2,2,23,65,
"            250 - 299,99 euros",36,0,0,0,1,3,11,4,11,4,2,36,98,
"            300 - 349,99 euros",48,0,0,0,2,7,10,14,7,6,2,49,105,
"            350 - 399,99 euros",36,0,0,0,0,1,7,12,7,7,2,36,102,
"            400 - 499,99 euros",100,0,0,2,0,6,22,20,26,12,12,100,273,
"            500 - 649,99 euros",101,0,0,1,0,8,15,26,16,16,19,101,285,
"            650 - 799,99 euros",59,0,0,0,1,3,1,7,13,14,20,59,198,
            800 euros ou mais,112,0,0,0,0,0,2,5,18,20,67,113,368,
          Pequenos patrões com profissões técnicas intermédias,897,1,4,8,19,50,138,167,188,145,177,901,2528,
            Sem encargos,301,0,1,3,8,23,37,55,57,54,63,302,781,
            Com encargos,596,1,3,5,11,27,101,112,131,91,114,599,1747,
            Menos de 75 euros,9,0,0,1,0,1,1,2,2,2,0,9,27,
"            75  - 99,99 euros",14,0,1,0,0,2,3,3,3,2,0,14,32,
"            100 - 149,99 euros",21,1,0,0,2,0,4,4,6,3,1,21,55,
            150 - 199.99 euros,17,0,0,0,1,0,2,5,4,3,2,17,53,
"            200 - 249,99 euros",25,0,0,0,0,1,9,7,3,0,5,27,70,
"            250 - 299,99 euros",53,0,0,2,2,5,12,11,8,7,6,53,152,
"            300 - 349,99 euros",51,0,0,0,3,6,13,11,8,8,2,51,142,
"            350 - 399,99 euros",62,0,1,1,1,2,12,15,16,9,5,62,174,
"            400 - 499,99 euros",109,0,0,1,1,6,21,24,27,13,16,110,327,
"            500 - 649,99 euros",85,0,0,0,0,2,11,16,24,16,16,85,253,
"            650 - 799,99 euros",57,0,1,0,0,0,9,5,18,7,17,57,175,
            800 euros ou mais,93,0,0,0,1,2,4,9,12,21,44,93,287,
          Pequenos patrões da indústria,3503,5,14,34,63,288,611,686,658,584,560,3537,10840,
            Sem encargos,1660,5,8,14,35,139,270,331,315,274,269,1679,4891,
            Com encargos,1843,0,6,20,28,149,341,355,343,310,291,1858,5949,
            Menos de 75 euros,31,0,0,1,1,4,6,5,6,4,4,31,100,
"            75  - 99,99 euros",25,0,0,0,4,3,7,3,4,1,3,25,78,
"            100 - 149,99 euros",80,0,1,1,0,12,19,17,16,11,3,80,246,
            150 - 199.99 euros,80,0,0,1,0,12,17,19,13,9,9,82,239,
"            200 - 249,99 euros",118,0,1,2,1,12,32,23,21,15,11,119,364,
"            250 - 299,99 euros",147,0,0,1,3,15,42,30,24,21,11,148,466,
"            300 - 349,99 euros",165,0,1,2,2,22,38,43,30,20,7,165,510,
"            350 - 399,99 euros",190,0,1,3,5,14,44,36,34,33,20,191,635,
"            400 - 499,99 euros",331,0,1,3,4,32,56,90,68,38,39,337,1075,
"            500 - 649,99 euros",275,0,0,4,2,11,44,52,61,54,47,276,923,
"            650 - 799,99 euros",185,0,1,1,2,7,18,20,37,51,48,186,604,
            800 euros ou mais,216,0,0,1,4,5,18,17,29,53,89,218,709,
          Pequenos patrões do comércio e serviços,3412,6,20,30,78,259,681,632,702,504,500,3455,10120,
            Sem encargos,1684,4,7,15,38,125,313,328,333,251,270,1706,4776,
            Com encargos,1728,2,13,15,40,134,368,304,369,253,230,1749,5344,
            Menos de 75 euros,24,0,0,0,0,1,8,8,3,2,2,24,62,
"            75  - 99,99 euros",25,0,0,1,0,4,9,5,3,2,1,25,64,
"            100 - 149,99 euros",62,0,2,2,3,6,16,10,9,9,5,63,197,
            150 - 199.99 euros,83,1,0,2,2,8,18,14,21,12,5,83,251,
"            200 - 249,99 euros",101,0,1,1,4,13,25,25,12,12,8,102,301,
"            250 - 299,99 euros",149,1,1,0,5,18,44,23,30,14,13,150,455,
"            300 - 349,99 euros",161,0,3,3,5,12,56,32,20,18,12,164,470,
"            350 - 399,99 euros",170,0,2,1,3,13,44,40,34,21,12,171,519,
"            400 - 499,99 euros",314,0,1,3,7,27,69,61,69,48,29,317,966,
"            500 - 649,99 euros",262,0,1,2,6,14,42,45,74,42,36,264,842,
"            650 - 799,99 euros",188,0,0,0,3,14,27,21,52,39,32,193,601,
            800 euros ou mais,189,0,2,0,2,4,10,20,42,34,75,193,616,
          Pequenos patrões do sector primário,581,6,5,17,24,62,122,119,96,72,58,588,1791,
            Sem encargos,403,4,3,13,21,40,80,80,67,53,42,409,1223,
            Com encargos,178,2,2,4,3,22,42,39,29,19,16,179,568,
            Menos de 75 euros,7,1,0,0,0,2,2,2,0,0,0,8,17,
"            75  - 99,99 euros",2,0,0,0,0,0,1,0,1,0,0,2,7,
"            100 - 149,99 euros",9,0,0,0,0,5,2,2,0,0,0,9,19,
            150 - 199.99 euros,10,0,0,1,0,1,3,3,1,1,0,10,21,
"            200 - 249,99 euros",14,1,1,0,0,2,5,2,0,0,3,14,47,
"            250 - 299,99 euros",20,0,0,2,1,0,10,4,1,2,0,20,63,
"            300 - 349,99 euros",25,0,0,0,1,2,6,3,6,3,4,25,80,
"            350 - 399,99 euros",13,0,0,1,0,1,3,4,4,0,0,13,45,
"            400 - 499,99 euros",26,0,0,0,1,3,3,7,5,5,2,26,92,
"            500 - 649,99 euros",15,0,0,0,0,2,2,4,2,2,3,15,50,
"            650 - 799,99 euros",23,0,1,0,0,2,4,6,5,3,2,23,75,
            800 euros ou mais,14,0,0,0,0,2,1,2,4,3,2,14,52,
          Profissionais intelectuais e científicos independentes,760,1,7,15,19,81,124,131,137,135,110,764,1967,
            Sem encargos,321,0,3,6,12,37,47,50,50,62,54,325,760,
            Com encargos,439,1,4,9,7,44,77,81,87,73,56,439,1207,
            Menos de 75 euros,4,0,0,0,0,1,0,2,0,1,0,4,8,
"            75  - 99,99 euros",7,0,0,0,0,1,2,1,2,1,0,7,18,
"            100 - 149,99 euros",12,0,1,0,0,0,1,2,4,3,1,12,32,
            150 - 199.99 euros,17,0,0,0,0,4,5,2,2,3,1,17,44,
"            200 - 249,99 euros",32,0,1,3,2,9,7,3,4,1,2,32,73,
"            250 - 299,99 euros",36,0,0,0,3,6,5,11,4,3,4,36,97,
"            300 - 349,99 euros",33,0,0,2,1,3,8,7,6,4,2,33,82,
"            350 - 399,99 euros",56,0,0,1,0,7,16,16,6,8,2,56,150,
"            400 - 499,99 euros",75,1,1,1,0,5,14,18,22,10,3,75,202,
"            500 - 649,99 euros",58,0,0,1,1,4,13,7,13,9,10,58,166,
"            650 - 799,99 euros",55,0,1,1,0,3,4,9,12,13,12,55,171,
            800 euros ou mais,54,0,0,0,0,1,2,3,12,17,19,54,164,
          Profissionais técnicos intermédios independentes,784,1,6,11,16,68,154,144,146,121,117,787,2152,
            Sem encargos,350,1,5,5,9,36,60,55,58,56,65,352,887,
            Com encargos,434,0,1,6,7,32,94,89,88,65,52,435,1265,
            Menos de 75 euros,5,0,0,0,0,1,1,1,2,0,0,5,11,
"            75  - 99,99 euros",8,0,0,0,0,2,3,1,1,0,1,8,19,
"            100 - 149,99 euros",6,0,0,0,1,0,0,2,1,0,2,6,18,
            150 - 199.99 euros,29,0,0,3,0,5,8,2,5,4,2,29,81,
"            200 - 249,99 euros",31,0,1,0,1,1,12,7,5,4,0,31,95,
"            250 - 299,99 euros",42,0,0,1,2,4,9,16,6,3,1,42,115,
"            300 - 349,99 euros",40,0,0,1,0,10,6,8,9,2,4,40,123,
"            350 - 399,99 euros",48,0,0,0,1,2,21,9,5,8,2,49,136,
"            400 - 499,99 euros",74,0,0,0,0,3,14,16,21,11,9,74,226,
"            500 - 649,99 euros",72,0,0,0,2,3,8,17,21,14,7,72,210,
"            650 - 799,99 euros",42,0,0,0,0,0,10,4,9,9,10,42,118,
            800 euros ou mais,37,0,0,1,0,1,2,6,3,10,14,37,113,
          Trabalhadores industriais e artesanais independentes,2395,14,29,40,83,256,526,492,442,295,218,2408,7199,
            Sem encargos,1337,9,21,26,55,158,287,266,228,153,134,1344,3772,
            Com encargos,1058,5,8,14,28,98,239,226,214,142,84,1064,3427,
            Menos de 75 euros,24,0,0,3,0,4,9,3,2,3,0,24,67,
"            75  - 99,99 euros",25,1,0,0,2,1,5,7,4,3,2,25,79,
"            100 - 149,99 euros",43,0,0,1,2,7,9,8,13,3,0,43,131,
            150 - 199.99 euros,72,2,1,2,1,13,20,21,4,4,4,72,223,
"            200 - 249,99 euros",94,2,1,3,6,9,26,20,16,8,3,95,295,
"            250 - 299,99 euros",126,0,1,0,6,18,41,21,22,13,4,126,421,
"            300 - 349,99 euros",113,0,1,2,3,13,25,28,25,8,8,114,349,
"            350 - 399,99 euros",113,0,1,1,3,8,23,30,22,21,4,113,377,
"            400 - 499,99 euros",186,0,0,0,3,15,44,41,44,28,11,187,628,
"            500 - 649,99 euros",122,0,1,0,2,3,24,29,27,18,18,123,418,
"            650 - 799,99 euros",85,0,1,1,0,6,9,6,25,25,12,87,266,
            800 euros ou mais,55,0,1,1,0,1,4,12,10,8,18,55,173,
          Prestadores de serviços e comerciantes independentes,2573,13,27,63,99,325,574,519,444,257,252,2601,7008,
            Sem encargos,1385,10,18,45,60,172,291,258,242,144,145,1405,3573,
            Com encargos,1188,3,9,18,39,153,283,261,202,113,107,1196,3435,
            Menos de 75 euros,30,0,0,2,0,6,14,5,0,1,2,30,85,
"            75  - 99,99 euros",30,0,0,0,0,6,12,6,3,2,1,31,74,
"            100 - 149,99 euros",53,1,0,4,3,6,20,11,6,2,0,53,144,
            150 - 199.99 euros,59,1,1,0,3,10,20,9,8,2,5,59,176,
"            200 - 249,99 euros",92,0,2,3,7,18,29,21,7,2,3,92,265,
"            250 - 299,99 euros",98,0,0,1,5,21,26,25,9,7,4,99,275,
"            300 - 349,99 euros",125,0,3,3,4,18,32,37,19,8,1,126,354,
"            350 - 399,99 euros",105,0,0,0,3,11,32,25,15,11,8,106,297,
"            400 - 499,99 euros",209,1,1,1,7,25,47,53,35,20,19,211,602,
"            500 - 649,99 euros",177,0,1,2,1,18,28,43,38,25,21,177,530,
"            650 - 799,99 euros",113,0,1,1,3,10,14,13,34,18,19,114,340,
            800 euros ou mais,97,0,0,1,3,4,9,13,28,15,24,98,293,
          Trabalhadores independentes do sector primário,1253,16,23,41,66,168,279,214,209,132,105,1265,3613,
            Sem encargos,910,12,19,32,49,128,191,148,157,94,80,918,2508,
            Com encargos,343,4,4,9,17,40,88,66,52,38,25,347,1105,
            Menos de 75 euros,11,1,0,0,1,1,1,2,4,1,0,11,32,
"            75  - 99,99 euros",18,0,0,2,0,2,6,4,1,2,1,18,52,
"            100 - 149,99 euros",20,0,0,1,4,1,5,4,4,1,0,20,63,
            150 - 199.99 euros,38,2,1,1,1,3,10,12,4,1,3,39,109,
"            200 - 249,99 euros",37,0,0,1,3,10,14,5,2,2,0,37,118,
"            250 - 299,99 euros",34,0,0,0,2,7,11,8,4,2,0,34,117,
"            300 - 349,99 euros",26,1,0,1,2,1,9,6,3,2,1,26,95,
"            350 - 399,99 euros",35,0,2,1,2,4,7,6,6,4,3,36,123,
"            400 - 499,99 euros",49,0,0,0,2,5,13,6,10,8,5,50,155,
"            500 - 649,99 euros",33,0,0,0,0,2,10,6,7,4,4,33,113,
"            650 - 799,99 euros",24,0,0,2,0,1,0,6,2,8,5,24,73,
            800 euros ou mais,18,0,1,0,0,3,2,1,5,3,3,19,55,
          Directores e quadros dirigentes do Estado e empresas,1867,0,4,11,24,127,306,376,425,313,281,1880,5303,
            Sem encargos,402,0,2,2,7,30,57,73,85,68,78,408,1121,
            Com encargos,1465,0,2,9,17,97,249,303,340,245,203,1472,4182,
            Menos de 75 euros,12,0,0,0,0,1,6,2,1,0,2,12,37,
"            75  - 99,99 euros",9,0,0,0,0,2,2,0,4,1,0,9,20,
"            100 - 149,99 euros",32,0,0,0,2,2,3,7,13,1,4,32,88,
            150 - 199.99 euros,36,0,0,1,3,3,7,4,9,6,3,36,92,
"            200 - 249,99 euros",82,0,1,0,2,8,23,17,19,7,5,83,209,
"            250 - 299,99 euros",131,0,1,0,3,21,28,30,26,15,7,132,332,
"            300 - 349,99 euros",140,0,0,2,3,16,37,38,21,14,9,140,366,
"            350 - 399,99 euros",159,0,0,0,3,10,40,48,36,17,5,159,426,
"            400 - 499,99 euros",294,0,0,3,1,14,52,80,82,47,15,297,821,
"            500 - 649,99 euros",253,0,0,1,0,11,34,41,62,55,49,253,762,
"            650 - 799,99 euros",160,0,0,2,0,7,12,19,41,42,37,160,500,
            800 euros ou mais,157,0,0,0,0,2,5,17,26,40,67,159,529,
          Dirigentes de pequenas empresas e organizações,530,3,2,2,3,44,106,111,108,85,66,534,1481,
            Sem encargos,169,3,0,2,0,18,20,35,31,33,27,171,471,
            Com encargos,361,0,2,0,3,26,86,76,77,52,39,363,1010,
            Menos de 75 euros,3,0,0,0,0,0,0,1,2,0,0,3,6,
"            75  - 99,99 euros",1,0,0,0,0,0,1,0,0,0,0,1,4,
"            100 - 149,99 euros",7,0,0,0,0,0,2,3,1,0,1,7,18,
            150 - 199.99 euros,10,0,0,0,0,0,5,4,0,1,0,10,22,
"            200 - 249,99 euros",30,0,1,0,0,3,10,7,3,3,3,30,87,
"            250 - 299,99 euros",41,0,1,0,1,3,16,7,8,4,1,41,104,
"            300 - 349,99 euros",33,0,0,0,1,2,10,4,8,3,5,33,86,
"            350 - 399,99 euros",46,0,0,0,1,4,14,13,5,7,2,46,124,
"            400 - 499,99 euros",63,0,0,0,0,8,13,18,11,8,5,63,190,
"            500 - 649,99 euros",57,0,0,0,0,3,8,11,17,10,8,57,170,
"            650 - 799,99 euros",38,0,0,0,0,2,5,5,12,8,6,39,104,
            800 euros ou mais,32,0,0,0,0,1,2,3,10,8,8,33,95,
          Quadros intelectuais e científicos,7492,16,29,70,172,714,1487,1627,1523,992,862,7533,18534,
            Sem encargos,1811,6,11,18,59,164,315,359,340,278,261,1819,4449,
            Com encargos,5681,10,18,52,113,550,1172,1268,1183,714,601,5714,14085,
            Menos de 75 euros,72,0,0,0,2,10,18,19,10,5,8,72,182,
"            75  - 99,99 euros",56,0,0,0,0,6,13,16,13,2,6,56,145,
"            100 - 149,99 euros",172,0,0,3,3,15,37,43,37,15,19,173,432,
            150 - 199.99 euros,236,3,3,3,10,41,51,60,39,17,9,241,489,
"            200 - 249,99 euros",357,2,5,7,17,48,87,68,72,34,17,359,837,
"            250 - 299,99 euros",578,2,2,9,19,100,148,148,82,40,28,581,1275,
"            300 - 349,99 euros",634,2,1,10,20,84,203,151,93,40,30,637,1361,
"            350 - 399,99 euros",702,1,2,6,14,76,183,187,151,55,27,702,1630,
"            400 - 499,99 euros",1114,0,2,6,15,92,247,308,251,109,84,1121,2681,
"            500 - 649,99 euros",905,0,2,4,7,45,117,172,250,187,121,910,2484,
"            650 - 799,99 euros",435,0,0,4,2,18,49,59,109,100,94,438,1255,
            800 euros ou mais,420,0,1,0,4,15,19,37,76,110,158,424,1314,
          Quadros técnicos intermédios,5913,17,35,61,157,586,1272,1258,1247,750,530,5963,16412,
            Sem encargos,1378,8,9,28,59,142,293,265,268,168,138,1398,3698,
            Com encargos,4535,9,26,33,98,444,979,993,979,582,392,4565,12714,
            Menos de 75 euros,55,0,1,2,3,5,13,15,4,9,3,56,160,
"            75  - 99,99 euros",60,0,0,1,0,7,20,13,9,7,3,60,169,
"            100 - 149,99 euros",162,2,2,2,5,19,51,35,24,13,9,162,442,
            150 - 199.99 euros,219,1,2,3,9,30,60,46,45,15,8,222,594,
"            200 - 249,99 euros",311,0,3,3,15,56,78,80,55,14,7,312,781,
"            250 - 299,99 euros",477,1,5,4,17,72,131,107,89,36,15,479,1256,
"            300 - 349,99 euros",538,1,4,3,9,82,133,146,99,37,24,539,1391,
"            350 - 399,99 euros",594,1,2,6,13,57,163,149,112,62,29,599,1606,
"            400 - 499,99 euros",870,0,4,7,19,74,203,186,212,110,55,879,2386,
"            500 - 649,99 euros",640,1,2,1,5,29,81,139,186,117,79,644,1910,
"            650 - 799,99 euros",322,1,0,0,3,8,28,45,93,79,65,324,1039,
            800 euros ou mais,287,1,1,1,0,5,18,32,51,83,95,289,980,
          Quadros administrativos intermédios,999,3,9,15,38,117,259,216,180,111,51,1001,2628,
            Sem encargos,259,0,2,5,9,27,48,61,57,35,15,260,650,
            Com encargos,740,3,7,10,29,90,211,155,123,76,36,741,1978,
            Menos de 75 euros,7,1,0,0,2,1,1,1,0,1,0,7,12,
"            75  - 99,99 euros",7,0,2,0,0,1,0,3,1,0,0,7,15,
"            100 - 149,99 euros",25,0,1,1,0,3,9,7,1,2,1,25,60,
            150 - 199.99 euros,36,0,0,2,2,5,5,6,7,6,3,36,92,
"            200 - 249,99 euros",64,0,2,0,6,10,22,11,6,4,3,64,151,
"            250 - 299,99 euros",99,0,0,2,1,17,37,22,11,5,4,99,257,
"            300 - 349,99 euros",112,1,0,1,7,19,38,22,15,5,4,112,292,
"            350 - 399,99 euros",102,0,2,1,4,7,38,20,19,10,1,102,279,
"            400 - 499,99 euros",128,0,0,1,4,13,37,30,25,16,2,129,353,
"            500 - 649,99 euros",98,1,0,1,2,6,16,20,29,14,9,98,286,
"            650 - 799,99 euros",39,0,0,1,0,4,4,11,6,8,5,39,117,
            800 euros ou mais,23,0,0,0,1,4,4,2,3,5,4,23,64,
          Empregados administrativos do comércio e serviços,17793,106,211,379,689,2534,4934,3830,2961,1368,781,17981,48713,
            Sem encargos,4989,43,87,142,221,762,1254,999,810,389,282,5069,13065,
            Com encargos,12804,63,124,237,468,1772,3680,2831,2151,979,499,12912,35648,
            Menos de 75 euros,198,3,4,8,14,33,61,32,27,11,5,201,570,
"            75  - 99,99 euros",243,1,6,3,11,27,90,51,33,17,4,243,659,
"            100 - 149,99 euros",599,5,6,14,28,102,196,128,79,28,13,607,1629,
            150 - 199.99 euros,851,6,14,29,43,158,276,161,109,34,21,855,2265,
"            200 - 249,99 euros",1260,10,24,35,80,250,415,222,134,67,23,1266,3245,
"            250 - 299,99 euros",1694,9,18,39,100,297,577,352,210,67,25,1704,4460,
"            300 - 349,99 euros",1741,7,15,27,54,261,584,408,259,91,35,1752,4675,
"            350 - 399,99 euros",1564,4,5,21,41,197,448,414,276,110,48,1573,4367,
"            400 - 499,99 euros",2243,10,17,33,58,255,569,550,465,200,86,2267,6422,
"            500 - 649,99 euros",1320,2,7,10,20,92,253,350,324,170,92,1332,4052,
"            650 - 799,99 euros",681,4,5,11,14,53,138,105,166,109,76,688,2036,
            800 euros ou mais,410,2,3,7,5,47,73,58,69,75,71,424,1268,
          Operários qualificados e semi-qualificados,10512,84,148,239,405,1579,2936,2233,1597,831,460,10648,31871,
            Sem encargos,4020,53,81,132,217,598,968,803,594,362,212,4094,11496,
            Com encargos,6492,31,67,107,188,981,1968,1430,1003,469,248,6554,20375,
            Menos de 75 euros,141,3,1,2,6,39,45,25,12,8,0,142,424,
"            75  - 99,99 euros",151,0,2,8,3,30,45,34,18,7,4,152,445,
"            100 - 149,99 euros",304,2,5,7,13,61,104,53,42,14,3,304,891,
            150 - 199.99 euros,474,4,5,15,29,91,149,88,54,29,10,477,1489,
"            200 - 249,99 euros",621,3,12,13,23,104,213,151,54,28,20,624,1882,
"            250 - 299,99 euros",866,2,10,5,28,167,290,193,104,42,25,873,2734,
"            300 - 349,99 euros",823,5,11,10,25,122,282,195,118,31,24,827,2621,
"            350 - 399,99 euros",773,7,5,8,15,92,242,190,133,59,22,777,2405,
"            400 - 499,99 euros",1174,2,10,25,19,158,336,277,204,98,45,1191,3739,
"            500 - 649,99 euros",584,1,0,4,7,49,144,121,141,72,45,594,1889,
"            650 - 799,99 euros",374,1,4,5,11,39,72,71,86,51,34,382,1200,
            800 euros ou mais,207,1,2,5,9,29,46,32,37,30,16,211,656,
          Assalariados do sector primário,1350,11,40,48,57,247,371,258,197,73,48,1368,4002,
            Sem encargos,712,6,29,35,34,127,182,131,104,40,24,719,1991,
            Com encargos,638,5,11,13,23,120,189,127,93,33,24,649,2011,
            Menos de 75 euros,29,2,1,1,0,6,7,5,4,3,0,29,91,
"            75  - 99,99 euros",18,1,1,0,1,2,6,7,0,0,0,19,55,
"            100 - 149,99 euros",36,0,0,1,6,5,16,6,1,1,0,37,117,
            150 - 199.99 euros,58,1,3,1,1,9,23,6,9,2,3,58,178,
"            200 - 249,99 euros",70,0,0,4,4,19,20,13,9,1,0,72,222,
"            250 - 299,99 euros",81,0,1,3,3,10,29,17,9,5,4,82,259,
"            300 - 349,99 euros",75,1,0,0,0,21,20,21,8,3,1,75,227,
"            350 - 399,99 euros",73,0,1,0,2,11,19,17,15,6,2,76,241,
"            400 - 499,99 euros",107,0,2,1,3,24,30,17,21,3,6,108,330,
"            500 - 649,99 euros",37,0,0,1,0,3,11,10,8,3,1,38,125,
"            650 - 799,99 euros",29,0,1,1,3,5,5,2,6,4,2,29,85,
            800 euros ou mais,25,0,1,0,0,5,3,6,3,2,5,26,81,
          Trabalhadores administrativos do comércio e serviços não qualificados,3937,54,77,152,252,713,1077,750,487,235,140,3998,10790,
            Sem encargos,1845,36,42,95,127,329,449,333,252,105,77,1883,4843,
            Com encargos,2092,18,35,57,125,384,628,417,235,130,63,2115,5947,
            Menos de 75 euros,83,4,2,2,9,10,32,11,8,3,2,87,214,
